time,position_1,velocity_1,acceleration_1,jerk_1,position_2,velocity_2,acceleration_2,jerk_2
0.98,0.154429,0.403095,0.555692,-0.161767,0.523558,0.00603437,-0.591122,27.7214
0.99,0.158488,0.408643,0.554018,-0.172978,0.523594,0.00153954,-0.304797,29.5498
1,0.162602,0.414175,0.552233,-0.184078,0.523599,1.22125e-15,-7.21645e-16,-1.16355
1.01,0.166771,0.419688,0.550337,-0.195067,0.523599,-5.77904e-05,-0.0115194,-1.14036
1.02,0.170996,0.425181,0.548332,-0.205946,0.523597,-0.000229618,-0.0228077,-1.11732
1.03,0.175275,0.430654,0.546219,-0.216715,0.523594,-0.000513179,-0.0338664,-1.09444
1.04,0.179609,0.436105,0.543998,-0.227373,0.523587,-0.000906185,-0.044697,-1.07171
1.05,0.183997,0.441534,0.541672,-0.23792,0.523575,-0.00140636,-0.0553011,-1.04914
1.06,0.188439,0.446938,0.53924,-0.248358,0.523558,-0.00201146,-0.0656802,-1.02672
1.07,0.192936,0.452318,0.536705,-0.258684,0.523535,-0.00271922,-0.075836,-1.00446
1.08,0.197486,0.457672,0.534067,-0.268901,0.523503,-0.00352744,-0.0857699,-0.982349
1.09,0.202089,0.462999,0.531327,-0.279007,0.523464,-0.00443389,-0.0954835,-0.960397
1.1,0.206745,0.468298,0.528487,-0.289002,0.523414,-0.00543638,-0.104978,-0.938599
1.11,0.211455,0.473569,0.525548,-0.298887,0.523355,-0.00653273,-0.114256,-0.916957
1.12,0.216217,0.478809,0.52251,-0.308661,0.523283,-0.00772078,-0.123318,-0.89547
1.13,0.221031,0.484018,0.519375,-0.318326,0.5232,-0.00899838,-0.132166,-0.874138
1.14,0.225897,0.489196,0.516144,-0.327879,0.523103,-0.0103634,-0.140801,-0.852962
1.15,0.230815,0.494341,0.512817,-0.337322,0.522992,-0.0118137,-0.149226,-0.83194
1.16,0.235784,0.499452,0.509397,-0.346655,0.522867,-0.0133472,-0.157441,-0.811074
1.17,0.240804,0.504529,0.505885,-0.355877,0.522725,-0.0149618,-0.165448,-0.790363
1.18,0.245874,0.509569,0.50228,-0.364989,0.522567,-0.0166555,-0.173248,-0.769807
1.19,0.250995,0.514574,0.498585,-0.373991,0.522392,-0.0184261,-0.180844,-0.749406
1.2,0.256165,0.519541,0.494801,-0.382882,0.522198,-0.0202717,-0.188237,-0.72916
1.21,0.261386,0.52447,0.490928,-0.391662,0.521986,-0.0221902,-0.195428,-0.709069
1.22,0.266655,0.529359,0.486968,-0.400332,0.521754,-0.0241796,-0.202419,-0.689134
1.23,0.271973,0.534209,0.482922,-0.408892,0.521502,-0.0262379,-0.209211,-0.669353
1.24,0.277339,0.539017,0.478791,-0.417341,0.521229,-0.0283631,-0.215806,-0.649728
1.25,0.282753,0.543784,0.474575,-0.42568,0.520935,-0.0305534,-0.222206,-0.630258
1.26,0.288214,0.548509,0.470277,-0.433908,0.520618,-0.0328066,-0.228412,-0.610943
1.27,0.293723,0.553189,0.465898,-0.442026,0.520278,-0.035121,-0.234426,-0.591783
1.28,0.299278,0.557826,0.461437,-0.450033,0.519915,-0.0374945,-0.240248,-0.572778
1.29,0.304879,0.562418,0.456897,-0.45793,0.519528,-0.0399253,-0.245882,-0.553929
1.3,0.310526,0.566964,0.452279,-0.465717,0.519117,-0.0424115,-0.251327,-0.535234
1.31,0.316218,0.571463,0.447583,-0.473393,0.51868,-0.0449512,-0.256587,-0.516695
1.32,0.321955,0.575915,0.442811,-0.480958,0.518218,-0.0475426,-0.261662,-0.498311
1.33,0.327736,0.580319,0.437964,-0.488413,0.517729,-0.0501839,-0.266554,-0.480082
1.34,0.333561,0.584674,0.433044,-0.495758,0.517214,-0.0528731,-0.271264,-0.462008
1.35,0.33943,0.58898,0.42805,-0.502992,0.516671,-0.0556085,-0.275794,-0.444089
1.36,0.345341,0.593235,0.422984,-0.510116,0.516101,-0.0583884,-0.280146,-0.426326
1.37,0.351294,0.597439,0.417848,-0.517129,0.515503,-0.0612109,-0.284321,-0.408717
1.38,0.35729,0.601592,0.412642,-0.524032,0.514877,-0.0640742,-0.288321,-0.391264
1.39,0.363326,0.605692,0.407367,-0.530825,0.514222,-0.0669767,-0.292147,-0.373966
1.4,0.369403,0.609739,0.402026,-0.537507,0.513537,-0.0699166,-0.295801,-0.356823
1.41,0.375521,0.613732,0.396618,-0.544078,0.512823,-0.0728922,-0.299284,-0.339835
1.42,0.381678,0.617671,0.391144,-0.55054,0.512079,-0.0759017,-0.302598,-0.323002
1.43,0.387874,0.621555,0.385607,-0.55689,0.511305,-0.0789436,-0.305745,-0.306325
1.44,0.394109,0.625383,0.380007,-0.56313,0.5105,-0.0820161,-0.308725,-0.289802
1.45,0.400381,0.629155,0.374345,-0.56926,0.509665,-0.0851175,-0.311541,-0.273435
1.46,0.406691,0.63287,0.368622,-0.57528,0.508798,-0.0882463,-0.314194,-0.257223
1.47,0.413039,0.636527,0.36284,-0.581189,0.5079,-0.0914009,-0.316686,-0.241166
1.48,0.419422,0.640126,0.356999,-0.586987,0.50697,-0.0945795,-0.319018,-0.225264
1.49,0.425841,0.643667,0.3511,-0.592675,0.506008,-0.0977807,-0.321192,-0.209517
1.5,0.432295,0.647148,0.345146,-0.598253,0.505014,-0.101003,-0.323209,-0.193925
1.51,0.438784,0.65057,0.339136,-0.60372,0.503988,-0.104244,-0.325071,-0.178489
1.52,0.445306,0.653931,0.333072,-0.609076,0.502929,-0.107504,-0.326779,-0.163208
1.53,0.451862,0.657231,0.326955,-0.614322,0.501838,-0.110779,-0.328336,-0.148081
1.54,0.458451,0.66047,0.320786,-0.619458,0.500714,-0.11407,-0.329742,-0.13311
1.55,0.465071,0.663646,0.314566,-0.624484,0.499556,-0.117374,-0.330998,-0.118295
1.56,0.471723,0.666761,0.308296,-0.629398,0.498366,-0.120689,-0.332108,-0.103634
1.57,0.478406,0.669812,0.301978,-0.634203,0.497143,-0.124015,-0.333072,-0.0891281
1.58,0.485119,0.6728,0.295613,-0.638897,0.495886,-0.12735,-0.333891,-0.0747777
1.59,0.491862,0.675724,0.289201,-0.64348,0.494596,-0.130693,-0.334568,-0.0605823
1.6,0.498634,0.678584,0.282743,-0.647953,0.493272,-0.134041,-0.335103,-0.0465421
1.61,0.505433,0.681379,0.276242,-0.652316,0.491915,-0.137394,-0.335499,-0.032657
1.62,0.512261,0.684109,0.269697,-0.656568,0.490524,-0.140751,-0.335757,-0.0189271
1.63,0.519115,0.686773,0.263111,-0.66071,0.4891,-0.144109,-0.335878,-0.00535234
1.64,0.525996,0.689371,0.256484,-0.664741,0.487642,-0.147468,-0.335864,0.0080673
1.65,0.532903,0.691902,0.249816,-0.668662,0.48615,-0.150826,-0.335717,0.0213318
1.66,0.539834,0.694367,0.243111,-0.672473,0.484625,-0.154182,-0.335438,0.0344412
1.67,0.54679,0.696764,0.236367,-0.676173,0.483067,-0.157534,-0.335029,0.0473954
1.68,0.553769,0.699094,0.229588,-0.679762,0.481475,-0.160882,-0.334491,0.0601945
1.69,0.560771,0.701356,0.222772,-0.683241,0.479849,-0.164224,-0.333826,0.0728384
1.7,0.567796,0.70355,0.215923,-0.68661,0.47819,-0.167558,-0.333035,0.0853272
1.71,0.574842,0.705674,0.209041,-0.689868,0.476498,-0.170884,-0.33212,0.0976609
1.72,0.581909,0.70773,0.202126,-0.693016,0.474773,-0.1742,-0.331082,0.109839
1.73,0.588997,0.709717,0.195181,-0.696053,0.473014,-0.177505,-0.329923,0.121863
1.74,0.596103,0.711634,0.188205,-0.69898,0.471223,-0.180798,-0.328645,0.133731
1.75,0.603229,0.713481,0.181201,-0.701796,0.469398,-0.184078,-0.327249,0.145444
1.76,0.610373,0.715258,0.17417,-0.704502,0.467541,-0.187343,-0.325737,0.157002
1.77,0.617534,0.716964,0.167112,-0.707098,0.465651,-0.190592,-0.32411,0.168405
1.78,0.624712,0.7186,0.160028,-0.709583,0.463729,-0.193825,-0.322369,0.179653
1.79,0.631906,0.720165,0.152921,-0.711957,0.461775,-0.197039,-0.320517,0.190745
1.8,0.639115,0.721658,0.14579,-0.714221,0.459789,-0.200235,-0.318555,0.201682
1.81,0.646339,0.72308,0.138636,-0.716375,0.45777,-0.20341,-0.316484,0.212465
1.82,0.653576,0.724431,0.131462,-0.718418,0.45572,-0.206564,-0.314306,0.223092
1.83,0.660827,0.72571,0.124268,-0.720351,0.453639,-0.209696,-0.312023,0.233564
1.84,0.66809,0.726916,0.117056,-0.722174,0.451527,-0.212804,-0.309635,0.243881
1.85,0.675365,0.728051,0.109825,-0.723886,0.449383,-0.215888,-0.307146,0.254042
1.86,0.682651,0.729113,0.102578,-0.725487,0.447209,-0.218947,-0.304555,0.264049
